Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Fishes,Poeciliidae,Poecilia sphenops,,Mexican Molly,Exotic,Freshwater,,
Fishes,Poeciliidae,Poecilia spp. hybrid,,lyretail black molly,Exotic Hybrid,Freshwater,,
Fishes,Poeciliidae,Xiphophorus hellerii,,Green Swordtail,Exotic,Freshwater,,
Fishes,Poeciliidae,Xiphophorus hellerii x maculatus,,red swordtail,Exotic Hybrid,Freshwater,,
Fishes,Poeciliidae,Xiphophorus hellerii x variatus,,platyfish/swordtail,Exotic Hybrid,Freshwater,,
Fishes,Poeciliidae,Xiphophorus maculatus,,Southern Platyfish,Exotic,Freshwater,,
Fishes,Poeciliidae,Xiphophorus maculatus x variatus,,platyfish/swordtail,Exotic Hybrid,Freshwater,,
Fishes,Poeciliidae,Xiphophorus sp.,,platyfish,Exotic,Freshwater,,
Fishes,Poeciliidae,Xiphophorus variatus,,Variable Platyfish,Exotic,Freshwater,,
Fishes,Poeciliidae,Xiphophorus xiphidium,,Swordtail Platyfish,Exotic,Freshwater,,
Fishes,Polyodontidae,Polyodon spathula,,Paddlefish,Native,Freshwater,,
Fishes,Polypteridae,Polypterus delhezi,,barred bichir,Exotic,Freshwater,,
Fishes,Pomacanthidae,Pomacanthus annularis,,blue ringed angelfish,Exotic,Marine,,
Fishes,Pomacanthidae,Pomacanthus asfur,,Arabian angel,Exotic,Marine,,
Fishes,Pomacanthidae,Pomacanthus imperator,,emperor angelfish,Exotic,Marine,,
Fishes,Pomacanthidae,Pomacanthus maculosus,,yellowbar angelfish,Exotic,Marine,,
Fishes,Pomacanthidae,Pomacanthus semicirculatus,,semicircle angelfish,Exotic,Marine,,
Fishes,Pomacanthidae,Pomacanthus xanthometopon,,bluefaced angel,Exotic,Marine,,
Fishes,Pomacentridae,Acanthochromis polyacanthus,,spiny chromis damselfish,Exotic,Marine,,
Fishes,Pomacentridae,Amphiprion ocellaris,,clown anemonefish,Exotic,Marine,,
Fishes,Pomacentridae,Dascyllus aruanus,,whitetail damselfish,Exotic,Marine,,
Fishes,Pomacentridae,Dascyllus trimaculatus,,three spot damselfish,Exotic,Marine,,
Fishes,Pomacentridae,Neopomacentrus cyanomos,,regal demoiselle,Exotic,Marine,,
Fishes,Salmonidae,Oncorhynchus mykiss,,Rainbow Trout,Native,Freshwater-Marine,,
Fishes,Salmonidae,Salmo trutta,,Brown Trout,Exotic,Freshwater,,
Fishes,Scatophagidae,Scatophagus argus,,scat,Exotic,Brackish-Marine,,
Fishes,Scorpaenidae,Pterois volitans/miles,,lionfish,Exotic,Marine,,
Fishes,Serranidae,Cephalopholis argus,,peacock hind,Exotic,Marine,,
Fishes,Serranidae,Chromileptes altivelis,,panther grouper,Exotic,Marine,,
Fishes,Serranidae,Epinephelus ongus,,Summan grouper,Exotic,Marine-Brackish,,
Fishes,Siganidae,Siganus unimaculatus,,blotched foxface,Exotic,Marine,,
Fishes,Synbranchidae,Monopterus albus,,Asian Swamp Eel,Exotic,Freshwater,,
Fishes,Synbranchidae,Monopterus sp.,,jowled swamp eels,Exotic,Freshwater,,
Fishes,Tetraodontidae,Arothron diadematus,,masked pufferfish,Exotic,Marine,,
Fishes,Zanclidae,Zanclus cornutus,,Moorish Idol,Exotic,Marine,,
Mammals,Caviidae,Hydrochoerus hydrochaeris,,capybara,Exotic,Freshwater,,
Mammals,Myocastoridae,Myocastor coypus,,nutria,Exotic,Freshwater,,
Mollusks-Bivalves,Cyrenidae,Corbicula fluminea,,Asian clam,Exotic,Freshwater,,
Mollusks-Bivalves,Cyrenidae,Corbicula largillierti,,a freshwater clam,Exotic,Freshwater,,
Mollusks-Bivalves,Mycetopodidae,Anodontites trapesialis,,,Exotic,Freshwater,,
Mollusks-Bivalves,Mytilidae,Perna viridis,,green mussel,Exotic,Marine-Brackish,,
Mollusks-Bivalves,Sphaeriidae,Pisidium punctiferum,,striate peaclam,Native,Freshwater,,
Mollusks-Gastropods,Ampullariidae,Marisa cornuarietis,,giant rams-horn snail,Exotic,Freshwater,,
Mollusks-Gastropods,Ampullariidae,Pomacea canaliculata,,channeled applesnail,Exotic,Freshwater,,
Mollusks-Gastropods,Ampullariidae,Pomacea diffusa,,spike-topped applesnail,Exotic,Freshwater,,
Mollusks-Gastropods,Ampullariidae,Pomacea maculata,,giant applesnail,Exotic,Freshwater,,
Mollusks-Gastropods,Ampullariidae,Pomacea sp.,,an applesnail,Exotic,Freshwater,,
Mollusks-Gastropods,Muricidae,Rapana venosa,,veined rapa whelk,Exotic,Marine,,
Mollusks-Gastropods,Planorbidae,Biomphalaria glabrata,,bloodfluke planorb,Exotic,Freshwater,,
Mollusks-Gastropods,Thiaridae,Melanoides tuberculatus,,red-rim melania,Exotic,Freshwater,,
Mollusks-Gastropods,Thiaridae,Melanoides turriculus,,fawn melania,Exotic,Freshwater,,
Mollusks-Gastropods,Thiaridae,Mieniplotia scabra,,Pagoda tiara,Exotic,Freshwater,,
Mollusks-Gastropods,Thiaridae,Tarebia granifera,,quilted melania,Exotic,Freshwater,,
Mollusks-Gastropods,Viviparidae,Cipangopaludina chinensis,,Chinese mysterysnail,Exotic,Freshwater,,
Mollusks-Gastropods,Viviparidae,Cipangopaludina japonica,,Japanese mysterysnail,Exotic,Freshwater,,
Plants,Acanthaceae,Hygrophila corymbosa,,starhorn,Exotic,Freshwater,,
Plants,Acanthaceae,Hygrophila difformis,,water-wisteria,Exotic,Freshwater,,
Plants,Acanthaceae,Hygrophila polysperma,,hygro,Exotic,Freshwater,,
Plants,Alismataceae,Sagittaria montevidensis montevidensis,,giant arrowhead,Exotic,Freshwater,,
Plants,Amaranthaceae,Alternanthera philoxeroides,,alligatorweed,Exotic,Freshwater,,
Plants,Araceae,Cryptocoryne beckettii,,Beckett's water trumpet,Exotic,Freshwater,,
Plants,Araceae,Cryptocoryne undulata,,undulate water trumpet,Exotic,Freshwater,,
Plants,Araceae,Cryptocoryne wendtii,,Wendt's water trumpet,Exotic,Freshwater,,
Plants,Araceae,Landoltia punctata,,dotted duckweed,Exotic,Freshwater,,
Plants,Araceae,Pistia stratiotes,,water lettuce,Cryptogenic,Freshwater,,
Plants,Asteraceae,Enydra fluctuans,,buffalo spinach,Exotic,Freshwater,,
